code,name,orgId,title,url,size_kb
603027,千禾味业,9900024904,千禾味业食品股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262172.PDF,1182
688478,晶升股份,9900053817,南京晶升装备股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262156.PDF,1826
600248,陕建股份,gssh0600248,陕西建工集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262130.PDF,4146
600900,长江电力,gssh0600900,长江电力2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262036.PDF,1499
002602,世纪华通,9900021007,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261915.PDF,2001
603718,海利生物,9900023467,海利生物2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261834.PDF,1582
002605,姚记科技,9900021171,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261769.PDF,4651
002609,捷顺科技,9900021238,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261733.PDF,1334
000892,欢瑞世纪,gssz0000892,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261706.PDF,1111
601106,中国一重,9900010530,中国第一重型机械股份公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261665.PDF,1822
300076,GQY视讯,9900011370,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261549.PDF,1220
688223,晶科能源,9900017709,晶科能源2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261496.PDF,1898
603368,柳药集团,9900022939,广西柳药集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261492.PDF,1671
688075,安旭生物,nssc1000391,安旭生物2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261344.PDF,1731
000793,*ST华闻,gssz0000793,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261282.PDF,1313
688171,纬德信息,nssc1000503,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261230.PDF,1775
